rank,player_id,player_name,season,season_type,scraped_at,rk,name,pos,gp,min,pts,fgm,fga,fg_percent,3pm,3pa,3p_percent,ftm,fta,ft_percent,reb,ast,stl,blk,to,dd2,td3
65,4066457,A. Reaves,2023-24,regular,2026-02-12T22:29:26.292271,65,A. Reaves,G,82,32.1,15.9,5.6,11.5,48.6,1.9,5.1,36.7,2.8,3.3,85.3,4.3,5.5,0.8,0.3,2.1,9,1
66,4395723,K. Johnson,2023-24,regular,2026-02-12T22:29:26.292324,66,K. Johnson,F,69,29.5,15.7,5.7,12.5,45.4,1.8,5.3,34.6,2.5,3.2,79.2,5.5,2.8,0.7,0.3,1.4,9,0
67,3934673,D. DiVincenzo,2023-24,regular,2026-02-12T22:29:26.292379,67,D. DiVincenzo,G,81,29.1,15.5,5.5,12.4,44.3,3.5,8.7,40.1,1.1,1.4,75.4,3.7,2.7,1.3,0.4,1.4,0,0
68,3133603,K. Oubre Jr.,2023-24,regular,2026-02-12T22:29:26.292431,68,K. Oubre Jr.,G,68,30.2,15.4,5.7,12.9,44.1,1.5,4.8,31.1,2.6,3.4,75.0,5.0,1.5,1.1,0.7,1.3,4,0
69,4066262,M. Monk,2023-24,regular,2026-02-12T22:29:26.292484,69,M. Monk,G,72,26.0,15.4,5.5,12.4,44.3,2.1,5.9,35.0,2.4,2.8,82.9,2.9,5.1,0.6,0.5,2.1,2,0
70,4433218,J. Ivey,2023-24,regular,2026-02-12T22:29:26.292540,70,J. Ivey,G,77,28.8,15.4,5.4,12.6,42.9,1.6,4.8,33.6,2.9,3.9,74.9,3.4,3.8,0.7,0.5,2.5,2,0
71,4594327,K. Murray,2023-24,regular,2026-02-12T22:29:26.292595,71,K. Murray,F,77,33.6,15.2,5.8,12.7,45.4,2.4,6.6,35.8,1.3,1.6,83.1,5.5,1.7,1.0,0.8,0.8,8,0
72,3078576,D. White,2023-24,regular,2026-02-12T22:29:26.292650,72,D. White,G,73,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,4.2,5.2,1.0,1.2,1.5,5,1
73,3908845,J. Collins,2023-24,regular,2026-02-12T22:29:26.292703,73,J. Collins,F,68,28.0,15.1,5.8,11.0,53.2,1.3,3.4,37.1,2.2,2.7,79.5,8.5,1.1,0.6,0.9,1.4,24,0
74,4683021,D. Avdija,2023-24,regular,2026-02-12T22:29:26.292757,74,D. Avdija,F,75,30.1,14.7,5.4,10.7,50.6,1.2,3.1,37.4,2.7,3.6,74.0,7.2,3.8,0.8,0.5,2.1,18,0
75,4683634,B. Mathurin,2023-24,regular,2026-02-12T22:29:26.292812,75,B. Mathurin,G,59,26.1,14.5,5.0,11.2,44.6,1.4,3.6,37.4,3.1,3.8,82.1,4.0,2.0,0.6,0.2,1.6,3,0
76,2528210,T. Hardaway Jr.,2023-24,regular,2026-02-12T22:29:26.292864,76,T. Hardaway Jr.,G,79,26.8,14.4,5.0,12.4,40.2,2.7,7.6,35.3,1.8,2.1,85.2,3.2,1.8,0.5,0.1,0.9,0,0
77,3032979,D. Schroder,2023-24,regular,2026-02-12T22:29:26.292919,77,D. Schroder,G,80,31.1,14.0,5.0,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,3.0,6.1,0.8,0.2,1.9,8,0
78,2991043,C. LeVert,2023-24,regular,2026-02-12T22:29:26.292975,78,C. LeVert,G,68,28.8,14.0,5.1,12.1,42.1,1.6,4.9,32.5,2.3,3.0,76.6,4.1,5.1,1.1,0.5,1.7,6,0
79,4683678,S. Henderson,2023-24,regular,2026-02-12T22:29:26.293029,78,S. Henderson,G,62,28.5,14.0,5.0,12.9,38.5,1.4,4.3,32.5,2.7,3.3,81.9,3.1,5.4,0.8,0.2,3.4,8,0
80,3032976,R. Gobert,2023-24,regular,2026-02-12T22:29:26.293082,80,R. Gobert,C,76,34.1,14.0,5.3,8.1,66.1,0.0,0.0,0.0,3.3,5.1,63.8,12.9,1.3,0.7,2.1,1.6,54,0
81,2595516,N. Powell,2023-24,regular,2026-02-12T22:29:26.293137,81,N. Powell,G,76,26.2,13.9,4.9,10.1,48.6,2.2,5.1,43.5,1.9,2.3,83.1,2.6,1.1,0.6,0.3,0.9,0,0
82,3064290,A. Gordon,2023-24,regular,2026-02-12T22:29:26.293190,82,A. Gordon,F,73,31.5,13.9,5.5,9.8,55.6,0.5,1.9,29.0,2.4,3.7,65.8,6.5,3.5,0.8,0.6,1.4,12,0
83,4433621,J. Duren,2023-24,regular,2026-02-12T22:29:26.293243,83,J. Duren,C,61,29.1,13.8,5.7,9.2,61.9,0.0,0.1,0.0,2.3,3.0,79.0,11.6,2.4,0.5,0.8,2.1,44,0
84,3064482,B. Portis,2023-24,regular,2026-02-12T22:29:26.293293,84,B. Portis,F,82,24.5,13.8,5.7,11.2,50.8,1.2,3.0,40.7,1.2,1.5,79.0,7.4,1.3,0.8,0.4,1.1,17,0
85,4432639,J. Smith Jr.,2023-24,regular,2026-02-12T22:29:26.293358,85,J. Smith Jr.,F,76,31.9,13.7,5.0,11.0,45.4,1.8,5.0,36.3,2.0,2.4,81.1,8.1,1.6,0.7,0.8,1.2,16,0
86,4277843,G. Trent Jr.,2023-24,regular,2026-02-12T22:29:26.293417,86,G. Trent Jr.,G,71,28.1,13.7,5.1,11.9,42.6,2.5,6.4,39.3,1.0,1.4,77.1,2.6,1.7,1.1,0.1,0.7,1,0
87,4397136,S. Bey,2023-24,regular,2026-02-12T22:29:26.293472,87,S. Bey,G,63,32.7,13.7,4.6,11.1,41.6,1.8,5.7,31.6,2.7,3.2,83.7,6.5,1.5,0.8,0.2,0.9,8,0
88,4066648,R. Hachimura,2023-24,regular,2026-02-12T22:29:26.293527,88,R. Hachimura,F,68,26.8,13.6,5.3,9.9,53.7,1.4,3.4,42.2,1.5,2.0,73.9,4.3,1.2,0.6,0.4,0.7,4,0
89,3135045,G. Allen,2023-24,regular,2026-02-12T22:29:26.293582,89,G. Allen,G,75,33.5,13.5,4.5,9.1,49.9,2.7,5.9,46.1,1.7,2.0,87.8,3.9,3.0,0.9,0.6,1.3,1,0
90,4396971,N. Reid,2023-24,regular,2026-02-12T22:29:26.293636,90,N. Reid,C,81,24.2,13.5,5.0,10.5,47.7,2.1,5.0,41.4,1.3,1.8,73.6,5.2,1.3,0.8,0.9,1.4,6,0
91,3138196,C. Johnson,2023-24,regular,2026-02-12T22:29:26.293691,91,C. Johnson,F,58,27.6,13.4,4.8,10.7,44.6,2.4,6.1,39.1,1.5,1.9,78.9,4.3,2.4,0.8,0.3,1.0,1,0
92,4280151,C. Kispert,2023-24,regular,2026-02-12T22:29:26.293746,92,C. Kispert,F,80,25.8,13.4,4.8,9.9,48.6,2.3,6.0,38.3,1.4,2.0,72.6,2.8,2.0,0.5,0.2,1.2,1,0
93,3059319,A. Wiggins,2023-24,regular,2026-02-12T22:29:26.293802,93,A. Wiggins,F,71,27.0,13.2,5.0,11.0,45.3,1.3,3.6,35.8,2.0,2.7,75.1,4.5,1.7,0.6,0.6,1.2,3,0
94,4433627,K. George,2023-24,regular,2026-02-12T22:29:26.293856,94,K. George,G,75,27.0,13.0,4.3,10.9,39.1,2.0,5.9,33.4,2.5,3.0,84.8,2.8,4.4,0.5,0.1,2.5,1,0
95,3157465,D. Robinson,2023-24,regular,2026-02-12T22:29:26.293912,95,D. Robinson,F,68,28.0,12.9,4.5,9.9,45.0,2.8,7.0,39.5,1.2,1.3,88.9,2.5,2.8,0.7,0.2,1.4,0,0
96,4278078,P.J. Washington,2023-24,regular,2026-02-12T22:29:26.293968,96,P.J. Washington,F,73,30.4,12.9,4.8,11.1,43.7,1.8,5.7,32.0,1.4,2.0,68.3,5.6,1.9,1.0,0.8,1.3,4,0
97,3155526,D. Brooks,2023-24,regular,2026-02-12T22:29:26.294062,97,D. Brooks,F,72,30.9,12.7,4.6,10.7,42.8,1.8,5.1,35.9,1.7,2.0,84.4,3.4,1.7,0.9,0.1,1.2,1,0
98,4432165,J. Suggs,2023-24,regular,2026-02-12T22:29:26.294119,98,J. Suggs,G,75,27.0,12.6,4.5,9.5,47.1,2.0,5.1,39.7,1.6,2.1,75.6,3.1,2.7,1.4,0.6,1.8,0,0
