game_id,fecha,home_team,away_team,home_score,away_score,home_fg_pct,home_3p_pct,home_ft_pct,home_reb,home_ast,home_stl,home_blk,home_to,home_pf,home_pts,away_fg_pct,away_3p_pct,away_ft_pct,away_reb,away_ast,away_stl,away_blk,away_to,away_pf,away_pts,home_team_normalized,away_team_normalized,home_win,point_diff,net_rating_diff,reb_diff,ast_diff,tov_diff
401585769,2025-11-09,Kings,Nets,131.0,118.0,34.9,23.3,76.9,46.0,17.0,5.0,5.0,16.0,14.0,77.0,42.6,31.3,75.0,54.0,31.0,8.0,12.0,9.0,17.0,107.0,SAC,BKN,1,13.0,-15.700000000000003,-8.0,-14.0,-7.0
401585771,2025-11-09,Timberwolves,Lakers,118.0,111.0,46.4,35.5,87.5,41.0,27.0,10.0,2.0,15.0,14.0,117.0,51.5,38.5,85.7,46.0,29.0,12.0,3.0,14.0,20.0,127.0,MIN,LAL,1,7.0,-8.100000000000001,-5.0,-2.0,-1.0
401585772,2025-11-09,Mavericks,Hornets,124.0,118.0,43.8,31.3,76.2,39.0,24.0,8.0,3.0,11.0,16.0,104.0,53.8,34.0,65.0,55.0,35.0,6.0,7.0,14.0,19.0,130.0,DAL,CHA,1,6.0,-12.7,-16.0,-11.0,3.0
401585773,2025-11-09,Pistons,76ers,106.0,114.0,44.9,35.1,82.6,51.0,29.0,11.0,8.0,7.0,18.0,120.0,40.5,46.7,83.3,44.0,20.0,3.0,5.0,16.0,17.0,102.0,DET,PHI,0,-8.0,-7.200000000000003,7.0,9.0,9.0
401585774,2025-11-09,Pacers,Raptors,131.0,132.0,50.0,23.8,72.7,40.0,21.0,8.0,6.0,15.0,20.0,123.0,54.5,35.6,69.6,44.0,33.0,9.0,8.0,13.0,23.0,140.0,IND,TOR,0,-1.0,-16.3,-4.0,-12.0,-2.0
401585775,2025-11-09,Hawks,Heat,109.0,117.0,39.8,21.7,78.6,59.0,28.0,13.0,2.0,15.0,23.0,111.0,47.7,40.0,71.4,46.0,29.0,8.0,3.0,18.0,16.0,117.0,ATL,MIA,0,-8.0,-26.200000000000006,13.0,-1.0,3.0
401585776,2025-11-09,Celtics,Bucks,119.0,116.0,53.1,47.2,50.0,49.0,29.0,6.0,5.0,16.0,4.0,104.0,39.8,32.7,0.0,38.0,27.0,11.0,4.0,12.0,8.0,91.0,BOS,MIL,1,3.0,27.800000000000004,11.0,2.0,-4.0
401585777,2025-11-09,Knicks,Bulls,116.0,100.0,53.4,35.7,68.4,39.0,20.0,4.0,5.0,9.0,18.0,117.0,55.4,47.2,95.0,31.0,31.0,6.0,4.0,10.0,15.0,128.0,NYK,CHI,1,16.0,-13.5,8.0,-11.0,1.0
401585778,2025-11-09,Magic,Rockets,116.0,86.0,52.3,42.9,72.2,37.0,29.0,8.0,7.0,12.0,21.0,118.0,45.3,29.2,91.3,42.0,23.0,9.0,6.0,14.0,15.0,106.0,ORL,HOU,1,30.0,20.7,-5.0,6.0,2.0
401585779,2025-11-09,Spurs,Grizzlies,108.0,120.0,34.6,20.0,81.8,49.0,21.0,10.0,5.0,7.0,13.0,87.0,48.3,25.0,100.0,51.0,30.0,5.0,11.0,16.0,12.0,102.0,SAS,MEM,0,-12.0,-18.699999999999996,-2.0,-9.0,9.0
401585780,2025-11-09,Wizards,Timberwolves,107.0,118.0,47.8,43.9,81.3,44.0,30.0,9.0,8.0,8.0,14.0,130.0,49.4,46.5,76.5,41.0,26.0,5.0,4.0,13.0,22.0,121.0,WAS,MIN,0,-11.0,-4.200000000000003,3.0,4.0,5.0
401585781,2025-11-09,Kings,Thunder,105.0,98.0,48.8,36.7,74.2,42.0,21.0,11.0,8.0,13.0,18.0,112.0,34.4,34.5,73.1,56.0,23.0,8.0,4.0,17.0,22.0,105.0,SAC,OKC,1,7.0,16.6,-14.0,-2.0,4.0
401585782,2025-11-09,Nuggets,Jazz,110.0,102.0,39.6,32.3,100.0,44.0,19.0,5.0,2.0,14.0,9.0,95.0,48.9,37.8,45.5,43.0,30.0,12.0,12.0,9.0,10.0,111.0,DEN,UTA,1,8.0,-14.799999999999997,1.0,-11.0,-5.0
401585783,2025-11-09,Warriors,Lakers,144.0,145.0,45.8,34.3,83.3,40.0,31.0,8.0,3.0,7.0,14.0,120.0,58.8,63.4,66.7,42.0,37.0,3.0,12.0,15.0,17.0,134.0,GSW,LAL,0,-1.0,-42.1,-2.0,-6.0,8.0
401585784,2025-11-09,Suns,Clippers,122.0,131.0,33.7,22.9,85.7,38.0,17.0,16.0,7.0,8.0,13.0,92.0,47.1,46.2,100.0,63.0,28.0,5.0,3.0,18.0,22.0,105.0,PHX,LAC,0,-9.0,-36.7,-25.0,-11.0,10.0
401585785,2025-11-09,Trail Blazers,Pelicans,84.0,93.0,47.1,34.2,87.5,47.0,28.0,3.0,3.0,21.0,19.0,100.0,41.4,30.6,93.1,45.0,25.0,13.0,2.0,9.0,9.0,110.0,POR,NOP,0,-9.0,9.300000000000004,2.0,3.0,-12.0
401585786,2025-11-09,Grizzlies,Cavaliers,101.0,108.0,45.1,40.5,72.4,47.0,27.0,11.0,10.0,13.0,15.0,110.0,39.3,43.8,94.7,44.0,21.0,10.0,10.0,13.0,21.0,98.0,MEM,CLE,0,-7.0,2.500000000000007,3.0,6.0,0.0
401585787,2025-11-09,Hornets,Hawks,116.0,110.0,52.4,45.0,62.5,38.0,35.0,7.0,2.0,16.0,20.0,114.0,50.6,38.9,95.5,33.0,25.0,11.0,2.0,13.0,18.0,115.0,CHA,ATL,1,6.0,7.899999999999999,5.0,10.0,-3.0
401585788,2025-11-09,Nets,Raptors,115.0,103.0,44.2,30.6,79.2,56.0,25.0,4.0,15.0,13.0,16.0,106.0,37.2,40.0,88.9,45.0,19.0,8.0,5.0,9.0,22.0,102.0,BKN,TOR,1,12.0,-2.3999999999999986,11.0,6.0,-4.0
401585789,2025-11-09,Mavericks,Heat,114.0,108.0,40.7,43.3,100.0,46.0,22.0,3.0,1.0,15.0,16.0,92.0,49.4,34.1,76.9,39.0,27.0,8.0,8.0,7.0,13.0,111.0,DAL,MIA,1,6.0,0.5,7.0,-5.0,-8.0
401585790,2025-11-09,Magic,Bucks,112.0,97.0,51.2,37.5,80.0,43.0,27.0,9.0,4.0,12.0,20.0,117.0,46.2,36.7,69.6,34.0,19.0,6.0,1.0,15.0,15.0,99.0,ORL,MIL,1,15.0,5.799999999999997,9.0,8.0,3.0
401585791,2025-11-09,Thunder,Spurs,123.0,87.0,46.5,42.1,81.0,62.0,33.0,12.0,6.0,12.0,16.0,127.0,33.3,22.5,80.0,47.0,24.0,8.0,4.0,15.0,14.0,89.0,OKC,SAS,1,36.0,32.800000000000004,15.0,9.0,3.0
401585792,2025-11-09,Timberwolves,Nuggets,110.0,89.0,55.4,44.0,56.5,44.0,31.0,7.0,8.0,13.0,21.0,116.0,50.0,43.3,57.1,35.0,23.0,9.0,5.0,9.0,21.0,107.0,MIN,DEN,1,21.0,6.100000000000001,9.0,8.0,-4.0
401585793,2025-11-09,Suns,Clippers,122.0,131.0,46.3,33.3,80.0,44.0,23.0,9.0,3.0,12.0,13.0,108.0,48.4,36.0,93.3,48.0,29.0,8.0,6.0,13.0,13.0,124.0,PHX,LAC,0,-9.0,-4.800000000000004,-4.0,-6.0,1.0
401585794,2025-11-09,Pistons,Bulls,118.0,102.0,49.4,40.0,65.2,38.0,27.0,4.0,2.0,20.0,12.0,105.0,53.1,38.9,73.3,42.0,28.0,14.0,5.0,8.0,15.0,127.0,DET,CHI,1,16.0,-2.6000000000000014,-4.0,-1.0,-12.0
401585795,2025-11-09,Knicks,Celtics,104.0,108.0,46.5,38.1,81.3,36.0,25.0,7.0,12.0,12.0,16.0,109.0,49.5,38.9,60.0,52.0,24.0,7.0,4.0,12.0,12.0,118.0,NYK,BOS,0,-4.0,-3.799999999999997,-16.0,1.0,0.0
401585796,2025-11-09,Rockets,Jazz,127.0,126.0,50.6,35.9,81.5,49.0,27.0,8.0,7.0,14.0,20.0,124.0,42.1,44.7,90.9,39.0,22.0,8.0,6.0,10.0,18.0,121.0,HOU,UTA,1,1.0,-0.30000000000000426,10.0,5.0,-4.0
401585797,2025-11-09,Warriors,Trail Blazers,110.0,106.0,36.1,23.5,82.4,49.0,22.0,9.0,3.0,12.0,18.0,92.0,46.8,34.3,80.0,46.0,24.0,8.0,13.0,16.0,18.0,100.0,GSW,POR,1,4.0,-21.499999999999993,3.0,-2.0,4.0
401585798,2025-11-09,Pelicans,Kings,129.0,93.0,54.8,42.1,75.0,32.0,26.0,7.0,0.0,14.0,17.0,123.0,57.0,55.0,83.3,40.0,35.0,7.0,2.0,13.0,16.0,135.0,NOP,SAC,1,36.0,-15.100000000000001,-8.0,-9.0,-1.0
401585799,2025-11-09,Magic,76ers,92.0,112.0,47.7,48.6,82.1,44.0,22.0,6.0,6.0,11.0,20.0,125.0,45.3,29.6,76.0,45.0,25.0,7.0,7.0,11.0,21.0,113.0,ORL,PHI,0,-20.0,21.400000000000006,-1.0,-3.0,0.0
401585800,2025-11-09,Bulls,Wizards,127.0,98.0,52.3,41.9,65.5,39.0,32.0,6.0,5.0,12.0,22.0,127.0,49.0,40.0,67.9,56.0,28.0,9.0,6.0,13.0,25.0,129.0,CHI,WAS,1,29.0,5.199999999999996,-17.0,4.0,1.0
